year,mountain,max
2017,Whistler,55.31496063
2015,Whistler,35.94488189
2014,Whistler,38.66141732
2012,Whistler,61.8503937
2011,Whistler,59.80314961
2010,Whistler,54.84251969
2008,Whistler,42.08661417
2007,Whistler,68.34645669
2006,Whistler,46.06299213
2003,Whistler,49.33070866
2002,Whistler,52.28346457
2000,Whistler,11.61417323
2010,Big Sky,18
2007,Big Sky,17.8
1998,Revelstoke,36.5
1999,Revelstoke,54
2003,Big Sky,22.8
1998,Big Sky,20.8
1997,Big Sky,32.4
1992,Big Sky,16.5
1994,Revelstoke,9.7
1990,Independence.Pass..Butte...Aspen.,14.1
2007,Cascade.Purgatory.,9.8
2000,Revelstoke,7.8
1990,snowbird,34
2005,Revelstoke,40.2
2016,Jackson Hole,22.3
2017,Revelstoke,45.8
2015,Jackson Hole,21.8
1993,Revelstoke,3.5
2007,Jackson Hole,18.8
2006,Jackson Hole,36.4
2000,Revelstoke,40.5
1999,Revelstoke,19.6
2010,Revelstoke,29.5
2013,Revelstoke,31.8
2013,Revelstoke,30.4
1995,Revelstoke,29.5
1985,squaw,33.1
1997,Revelstoke,0.8
2016,Revelstoke,18.2
1998,Jackson Hole,28
1999,Revelstoke,63.3
1996,Jackson Hole,38.5
1992,Jackson Hole,19
2000,Revelstoke,2.6
1994,Revelstoke,5.6
1987,Jackson Hole,17.3
2002,Revelstoke,52.8
2018,LakeEldora,11.8
1993,Revelstoke,20.3
1998,Revelstoke,27.8
1992,Revelstoke,14.8
1993,Revelstoke,21.4
1997,Revelstoke,56.1
1982,Red.Mtn.Pass.Telluride.,33.1
1996,Revelstoke,55
1993,Revelstoke,21.2
2000,squaw,56.7
2017,LakeEldora,13.4
2017,FreemontPass.skiCooper.Copper.Breck.,21.1
2018,Revelstoke,44.4
2007,snowbird,30.1
2012,Revelstoke,37.9
2016,Tower.Steamboat.,48.9
2018,Revelstoke,40.9
2013,Revelstoke,48.1
1995,Revelstoke,43.5
1994,Revelstoke,18.5
2015,Revelstoke,39.5
2016,LakeEldora,14.5
2001,Jackson Hole,18.8
1999,Revelstoke,65.6
1996,Revelstoke,13.2
2016,Cascade.Purgatory.,12.1
2004,Revelstoke,32.6
2015,VailMountain,14.6
1994,Big Sky,13.8
2013,Revelstoke,49.1
2013,Revelstoke,46.3
1995,Revelstoke,44.5
1997,Revelstoke,16.4
1998,Revelstoke,26.7
2014,WolfCreekSummit,25.5
2016,Revelstoke,18.4
1995,Revelstoke,4.8
1999,Revelstoke,4.5
1993,Revelstoke,15.7
1995,Revelstoke,33.7
2000,Revelstoke,5.7
2014,Tower.Steamboat.,56.1
2013,Revelstoke,54.2
2014,Park.Reservoir.Powderhorn.,26.5
2005,squaw,75.7
2014,LakeEldora,19.1
2005,Revelstoke,5.9
2014,GrizzleyPeak.Keystone.Abasin.Loveland.,25.8
2014,Cascade.Purgatory.,10.4
1995,Revelstoke,27.8
2012,Revelstoke,12.8
1996,snowbird,52.9
2012,snowbird,32.8
2011,Revelstoke,5.9
1998,Revelstoke,64.1
1999,Revelstoke,4.1
2013,Porphyry.Creek..Monarch.,10.9
1998,Revelstoke,67.1
2013,Park.Reservoir.Powderhorn.,20.7
2013,Independence.Pass..Butte...Aspen.,15.3
1997,Revelstoke,0.9
2012,WolfCreekSummit,27.2
2012,Tower.Steamboat.,27.7
2012,Porphyry.Creek..Monarch.,10.6
2012,Cascade.Purgatory.,12.5
2013,Revelstoke,42.4
1997,Revelstoke,7.6
1990,Butte,7.7
1994,Revelstoke,18.4
2007,Revelstoke,59.9
2000,Revelstoke,8.4
1996,Revelstoke,7.2
1992,Revelstoke,15.1
2001,Revelstoke,6.6
1995,Revelstoke,38.8
2000,Revelstoke,9.7
2011,Independence.Pass..Butte...Aspen.,25
1994,Revelstoke,NA
1996,Revelstoke,4.6
1995,Revelstoke,41.9
2001,Porphyry.Creek..Monarch.,14.6
1990,Tower.Steamboat.,49.5
1999,Revelstoke,3.8
2002,Revelstoke,15.2
2000,Revelstoke,48.3
2008,Revelstoke,45.5
2013,VailMountain,17.8
1994,Revelstoke,2.4
2012,Revelstoke,38.4
2010,Tower.Steamboat.,45.1
1993,Jackson Hole,34.6
1998,Revelstoke,50.1
1996,Revelstoke,47
2014,Revelstoke,29.4
1993,Revelstoke,17.2
2014,Revelstoke,6.8
2012,Revelstoke,8.2
1997,Revelstoke,44.1
1999,VailMountain,17.7
2010,GrizzleyPeak.Keystone.Abasin.Loveland.,12.8
2010,FreemontPass.skiCooper.Copper.Breck.,18.3
1998,Revelstoke,1.3
2012,Red.Mtn.Pass.Telluride.,17.8
1999,Revelstoke,2.4
2009,Porphyry.Creek..Monarch.,19.2
1994,Revelstoke,41
2012,Revelstoke,17.6
1995,Revelstoke,17.3
1989,Jackson Hole,38.7
1994,Revelstoke,22
1995,Revelstoke,31.9
2009,FreemontPass.skiCooper.Copper.Breck.,23
1993,Revelstoke,1.4
2008,WolfCreekSummit,47.5
1999,Revelstoke,4
2001,Revelstoke,24.3
1994,Revelstoke,14.7
1998,Cascade.Purgatory.,11.5
1994,Revelstoke,0.5
2008,Cascade.Purgatory.,23.5
2009,WolfCreekSummit,35.9
2008,Revelstoke,53.1
2015,WolfCreekSummit,18.8
2000,Revelstoke,44.7
2007,Independence.Pass..Butte...Aspen.,16.3
1996,Revelstoke,64.3
1999,Revelstoke,61.9
2009,Revelstoke,37.9
2013,Berthoud.Pass,22.9
2016,Revelstoke,50.9
2006,VailMountain,29.2
2009,Revelstoke,8.9
2007,FreemontPass.skiCooper.Copper.Breck.,19.4
1993,Revelstoke,33.5
1999,Revelstoke,63.2
2006,Tower.Steamboat.,56.5
2015,Revelstoke,2.1
2003,Revelstoke,8.1
2006,Porphyry.Creek..Monarch.,16.2
2006,Park.Reservoir.Powderhorn.,26.8
1998,Revelstoke,62.1
1993,Revelstoke,23.2
2006,Revelstoke,10.5
2006,Independence.Pass..Butte...Aspen.,17
2005,Big Sky,15.6
2002,Revelstoke,66.5
2006,Cascade.Purgatory.,9.8
1995,Jackson Hole,33.9
2010,North.Lost.Trail,17.4
2008,Revelstoke,50.6
2006,Revelstoke,44.7
1996,Revelstoke,52.6
2005,Revelstoke,9.9
1998,Revelstoke,42
2004,Revelstoke,3.5
2008,Porphyry.Creek..Monarch.,23.8
2006,Butte,16.4
1992,snowbird,23
2005,Porphyry.Creek..Monarch.,18.5
1998,GrizzleyPeak.Keystone.Abasin.Loveland.,18.8
2005,LakeEldora,10.7
2000,Revelstoke,57.7
