year,mountain,max
1992,Big Sky,16.5
1993,Big Sky,21.4
1994,Big Sky,13.8
1995,Big Sky,28.6
1996,Big Sky,30.7
1997,Big Sky,32.4
1998,Big Sky,20.8
1999,Big Sky,24.5
2000,Big Sky,18.1
2001,Big Sky,16.4
2002,Big Sky,19.6
2003,Big Sky,22.8
2004,Big Sky,15.9
2005,Big Sky,15.6
2006,Big Sky,25.8
2007,Big Sky,17.8
2008,Big Sky,26.5
2009,Big Sky,25.8
2010,Big Sky,18
2011,Big Sky,33.4
2012,Big Sky,19.1
2013,Big Sky,19.7
2014,Big Sky,30
2015,Big Sky,15.7
2016,Big Sky,18.8
2017,Big Sky,22.2
2018,Big Sky,29.8
