year,mountain,max
1990,snowbird,34
1991,snowbird,40
1992,snowbird,23
1993,snowbird,66.9
1994,snowbird,31.9
1995,snowbird,58.9
1996,snowbird,52.9
1997,snowbird,58.3
1998,snowbird,44.7
1999,snowbird,50.5
2000,snowbird,37.5
2001,snowbird,36.6
2002,snowbird,50.2
2003,snowbird,36.2
2004,snowbird,42.9
2005,snowbird,74.6
2006,snowbird,68.9
2007,snowbird,30.1
2008,snowbird,57.8
2009,snowbird,54.1
2010,snowbird,40.4
2011,snowbird,75.1
2012,snowbird,32.8
2013,snowbird,35
2014,snowbird,32.5
2015,snowbird,21.6
2016,snowbird,
2017,snowbird,59.3
2018,snowbird,30
