year,mountain,max
1981,squaw,38.4
1982,squaw,92.1
1983,squaw,110.2
1984,squaw,49.6
1985,squaw,33.1
1986,squaw,70.5
1987,squaw,33.3
1988,squaw,29.7
1989,squaw,54.5
1990,squaw,27.9
1991,squaw,33.2
1992,squaw,33.7
1993,squaw,99.9
1994,squaw,31.9
1995,squaw,116.5
1996,squaw,65.1
1997,squaw,90
1998,squaw,87
1999,squaw,74.3
2000,squaw,56.7
2001,squaw,36
2002,squaw,62.3
2003,squaw,68.4
2004,squaw,49.9
2005,squaw,75.7
2006,squaw,88.5
2007,squaw,32.2
2008,squaw,40
2009,squaw,46.7
2010,squaw,51.7
2011,squaw,73.4
2012,squaw,35.4
2013,squaw,35.1
2014,squaw,22
2015,squaw,18.4
2016,squaw,42.5
2017,squaw,82.8
2018,squaw,36.2
