year,mountain,max
8/30/00 16:00,whistler,0
8/31/00 16:00,whistler,0
9/1/00 16:00,whistler,0
9/2/00 16:00,whistler,0
9/3/00 16:00,whistler,0
9/4/00 16:00,whistler,0
9/5/00 16:00,whistler,0
9/6/00 16:00,whistler,0
9/7/00 16:00,whistler,0
9/8/00 16:00,whistler,0
9/9/00 16:00,whistler,0
9/10/00 16:00,whistler,0
9/11/00 16:00,whistler,0
9/12/00 16:00,whistler,0
9/13/00 16:00,whistler,0
9/14/00 16:00,whistler,0
9/15/00 16:00,whistler,0
9/16/00 16:00,whistler,0
9/17/00 16:00,whistler,0
9/18/00 16:00,whistler,0
9/19/00 16:00,whistler,0
9/20/00 16:00,whistler,0
9/21/00 16:00,whistler,0
9/22/00 16:00,whistler,0
9/23/00 16:00,whistler,0
9/24/00 16:00,whistler,0
9/25/00 16:00,whistler,0
9/26/00 16:00,whistler,0
9/27/00 16:00,whistler,0
9/28/00 16:00,whistler,0
9/29/00 16:00,whistler,0
9/30/00 16:00,whistler,0
10/1/00 16:00,whistler,0
10/2/00 16:00,whistler,0
10/3/00 16:00,whistler,0
10/4/00 16:00,whistler,0
10/5/00 16:00,whistler,0
10/6/00 16:00,whistler,0
10/7/00 16:00,whistler,0
10/8/00 16:00,whistler,0
10/9/00 16:00,whistler,0
10/10/00 16:00,whistler,0
10/11/00 16:00,whistler,0
10/12/00 16:00,whistler,0
10/13/00 16:00,whistler,0
10/14/00 16:00,whistler,0
10/15/00 16:00,whistler,0
10/16/00 16:00,whistler,0.708661417
10/17/00 16:00,whistler,0.708661417
10/18/00 16:00,whistler,0.708661417
10/19/00 16:00,whistler,2.913385827
10/20/00 16:00,whistler,3.188976378
10/21/00 16:00,whistler,3.188976378
10/22/00 16:00,whistler,3.188976378
10/23/00 16:00,whistler,3.188976378
10/24/00 16:00,whistler,3.188976378
10/25/00 16:00,whistler,3.188976378
10/26/00 16:00,whistler,3.188976378
10/27/00 16:00,whistler,3.661417323
10/28/00 16:00,whistler,3.661417323
10/29/00 16:00,whistler,3.661417323
10/30/00 16:00,whistler,3.661417323
10/31/00 16:00,whistler,3.779527559
11/1/00 16:00,whistler,3.779527559
11/2/00 16:00,whistler,3.779527559
11/3/00 16:00,whistler,4.37007874
11/4/00 16:00,whistler,4.37007874
11/5/00 16:00,whistler,4.37007874
11/6/00 16:00,whistler,4.37007874
11/7/00 16:00,whistler,4.37007874
11/8/00 16:00,whistler,4.251968504
11/9/00 16:00,whistler,4.251968504
11/10/00 16:00,whistler,4.251968504
11/11/00 16:00,whistler,4.251968504
11/12/00 16:00,whistler,4.251968504
11/13/00 16:00,whistler,4.251968504
11/14/00 16:00,whistler,4.251968504
11/15/00 16:00,whistler,4.251968504
11/16/00 16:00,whistler,4.251968504
11/17/00 16:00,whistler,4.251968504
11/18/00 16:00,whistler,4.251968504
11/19/00 16:00,whistler,4.251968504
11/20/00 16:00,whistler,4.251968504
11/21/00 16:00,whistler,4.251968504
11/22/00 16:00,whistler,4.251968504
11/23/00 16:00,whistler,4.251968504
