domain,policy,domain_use,legitimate_dmarc_fail,auth_fail_messages,legitimate_messages,legitimate_policy_applied,suspicious_messages,total_messages,auth_ratio
domain_0,monitor,0,147916,161865,162564,110,5472232,5634796,0.004299844984129327
domain_1,monitor,0,615625,4678228,4863594,211,370705,5234299,0.038112967488651395
domain_2,monitor,0,6676,177211,458196,14,4464153,4922349,0.6132419314005361
domain_3,reject,0,62,62,62,37,2944223,2944285,0.0
domain_4,reject,0,36,36,36,20,2440630,2440666,0.0
domain_5,monitor,0,105995,308362,1349647,2213,1019756,2369403,0.7715239614506608
domain_6,monitor,0,22043,22096,23973,414,1914243,1938216,0.07829641680223585
domain_7,monitor,0,232974,817192,1850111,721,77394,1927505,0.5583010965288029
domain_8,monitor,0,94268,849977,1000724,2010,627328,1628052,0.15063793813279186
domain_9,reject,0,23,23,23,16,1495414,1495437,0.0
domain_10,monitor,0,25,57,270,0,1494127,1494397,0.7888888888888889
domain_11,reject,0,26801,520921,1117510,2719,25810,1143320,0.5338556254530161
domain_12,monitor,0,3235,41027,101874,17,1017348,1119222,0.5972770284861691
domain_13,monitor,0,10499,22015,39707,45,1049380,1089087,0.44556375450172514
domain_14,monitor,0,48,88,892,0,1018004,1018896,0.9013452914798207
domain_15,monitor,0,10996,11367,15693,24,870809,886502,0.27566430892754734
domain_16,monitor,0,766877,767805,767805,11823,650,768455,0.0
domain_17,monitor,0,17636,84122,212519,606,385527,598046,0.6041671568189197
domain_18,monitor,0,48401,280048,519169,628,47660,566829,0.4605841257856305
domain_19,monitor,0,470,751,754,2,549866,550620,0.003978779840848806
domain_20,reject,0,9,9,9,9,514465,514474,0.0
domain_21,monitor,0,2681,3690,10503,17,368753,379256,0.6486718080548415
domain_22,monitor,0,18452,29032,35104,17,332723,367827,0.17297174111212396
domain_23,monitor,0,7,7,7,0,339585,339592,0.0
domain_24,monitor,0,1417,2537,13044,27,318570,331614,0.8055044464888071
domain_25,monitor,0,1164,2360,12147,2,305469,317616,0.8057133448588129
domain_26,monitor,0,0,0,0,0,300485,300485,1.0
domain_27,monitor,0,322,977,9206,15,286813,296019,0.8938735607212688
domain_28,monitor,0,0,0,0,0,261027,261027,1.0
domain_29,monitor,0,204,574,2106,6,250487,252593,0.7274453941120608
domain_30,monitor,0,1529,5490,31577,39,163333,194910,0.8261392785888463
domain_31,monitor,0,101410,105075,124071,97,7800,131871,0.15310588292187538
domain_32,monitor,0,17867,30289,99545,104,19923,119468,0.6957255512582249
domain_33,monitor,0,108241,108336,108636,4,1920,110556,0.0027615155197172206
domain_34,monitor,0,9,22,234,0,70936,71170,0.905982905982906
domain_35,monitor,0,99,104,152,0,64108,64260,0.3157894736842105
domain_36,monitor,0,12037,52147,52147,221,10569,62716,0.0
domain_37,monitor,0,5229,13400,41197,113,21333,62530,0.6747335971065854
domain_38,monitor,0,4,57,57,0,56075,56132,0.0
domain_39,monitor,0,310,1889,4144,1,48248,52392,0.5441602316602316
domain_40,monitor,0,4982,5037,42500,1,1041,43541,0.8814823529411765
domain_41,monitor,0,250,33453,40040,5,3090,43130,0.16451048951048952
domain_42,monitor,1,21570,28803,42664,32,255,42919,0.32488749296831054
domain_43,monitor,0,3795,4574,12283,23,23506,35789,0.6276154034030774
domain_44,monitor,0,12470,14741,32468,115,2699,35167,0.5459837378341752
domain_45,monitor,0,442,536,3485,0,28660,32145,0.8461979913916786
domain_46,monitor,0,137,24863,25510,187,38,25548,0.025362602900823206
domain_47,monitor,0,945,25220,25458,0,20,25478,0.009348731243616938
domain_48,monitor,0,120,317,317,0,22200,22517,0.0
domain_49,monitor,0,138,164,196,0,22290,22486,0.16326530612244897
